,year,ethnicity,age,population
18044,2011,Total Male Indians,20 - 24 Years,10752
18045,2011,Total Male Indians,25 - 29 Years,12389
18046,2011,Total Male Indians,30 - 34 Years,18481
18047,2011,Total Male Indians,35 - 39 Years,20231
18048,2011,Total Male Indians,40 - 44 Years,17781
18049,2011,Total Male Indians,45 - 49 Years,15156
18050,2011,Total Male Indians,50 - 54 Years,12521
18051,2011,Total Male Indians,55 - 59 Years,8949
18052,2011,Total Male Indians,60 - 64 Years,6474
18053,2011,Total Male Indians,65 - 69 Years,3128
18054,2011,Total Male Indians,70 - 74 Years,2508
18055,2011,Total Male Indians,75 - 79 Years,1948
18056,2011,Total Male Indians,80 - 84 Years,1434
18057,2011,Total Male Indians,65 Years & Over,10038
18058,2011,Total Male Indians,70 Years & Over,6910
18059,2011,Total Male Indians,75 Years & Over,4402
18060,2011,Total Male Indians,80 Years & Over,2454
18061,2011,Total Male Indians,85 Years & Over,1020
18062,2011,Total Female Indians,0  -  4 Years,11121
18063,2011,Total Female Indians,5  -  9 Years,13460
18064,2011,Total Female Indians,10 - 14 Years,12035
18065,2011,Total Female Indians,15 - 19 Years,11473
18066,2011,Total Female Indians,20 - 24 Years,11092
18067,2011,Total Female Indians,25 - 29 Years,14372
18068,2011,Total Female Indians,30 - 34 Years,17690
18069,2011,Total Female Indians,35 - 39 Years,15259
18070,2011,Total Female Indians,40 - 44 Years,12731
18071,2011,Total Female Indians,45 - 49 Years,12645
18072,2011,Total Female Indians,50 - 54 Years,10945
18073,2011,Total Female Indians,55 - 59 Years,8536
18074,2011,Total Female Indians,60 - 64 Years,6739
18075,2011,Total Female Indians,65 - 69 Years,3299
18076,2011,Total Female Indians,70 - 74 Years,3089
18077,2011,Total Female Indians,75 - 79 Years,2156
18078,2011,Total Female Indians,80 - 84 Years,1205
18079,2011,Total Female Indians,65 Years & Over,10390
18080,2011,Total Female Indians,70 Years & Over,7091
18081,2011,Total Female Indians,75 Years & Over,4002
18082,2011,Total Female Indians,80 Years & Over,1846
18083,2011,Total Female Indians,85 Years & Over,641
18084,2011,Other Ethnic Groups (Total),0  -  4 Years,8426
18085,2011,Other Ethnic Groups (Total),5  -  9 Years,10269
18086,2011,Other Ethnic Groups (Total),10 - 14 Years,9079
18087,2011,Other Ethnic Groups (Total),15 - 19 Years,6518
18088,2011,Other Ethnic Groups (Total),20 - 24 Years,5161
18089,2011,Other Ethnic Groups (Total),25 - 29 Years,8430
18090,2011,Other Ethnic Groups (Total),30 - 34 Years,15032
18091,2011,Other Ethnic Groups (Total),35 - 39 Years,16828
18092,2011,Other Ethnic Groups (Total),40 - 44 Years,14672
18093,2011,Other Ethnic Groups (Total),45 - 49 Years,10905
18094,2011,Other Ethnic Groups (Total),50 - 54 Years,7365
18095,2011,Other Ethnic Groups (Total),55 - 59 Years,4646
18096,2011,Other Ethnic Groups (Total),60 - 64 Years,3326
18097,2011,Other Ethnic Groups (Total),65 - 69 Years,1509
18098,2011,Other Ethnic Groups (Total),70 - 74 Years,1213
18099,2011,Other Ethnic Groups (Total),75 - 79 Years,877
18100,2011,Other Ethnic Groups (Total),80 - 84 Years,635
18101,2011,Other Ethnic Groups (Total),65 Years & Over,4667
18102,2011,Other Ethnic Groups (Total),70 Years & Over,3158
18103,2011,Other Ethnic Groups (Total),75 Years & Over,1945
18104,2011,Other Ethnic Groups (Total),80 Years & Over,1068
18105,2011,Other Ethnic Groups (Total),85 Years & Over,433
18106,2011,Other Ethnic Groups (Males),0  -  4 Years,4080
18107,2011,Other Ethnic Groups (Males),5  -  9 Years,4995
18108,2011,Other Ethnic Groups (Males),10 - 14 Years,4273
18109,2011,Other Ethnic Groups (Males),15 - 19 Years,2938
18110,2011,Other Ethnic Groups (Males),20 - 24 Years,2191
18111,2011,Other Ethnic Groups (Males),25 - 29 Years,3158
18112,2011,Other Ethnic Groups (Males),30 - 34 Years,6318
18113,2011,Other Ethnic Groups (Males),35 - 39 Years,7854
18114,2011,Other Ethnic Groups (Males),40 - 44 Years,7166
18115,2011,Other Ethnic Groups (Males),45 - 49 Years,5812
18116,2011,Other Ethnic Groups (Males),50 - 54 Years,3976
18117,2011,Other Ethnic Groups (Males),55 - 59 Years,2642
18118,2011,Other Ethnic Groups (Males),60 - 64 Years,1985
18119,2011,Other Ethnic Groups (Males),65 - 69 Years,900
18120,2011,Other Ethnic Groups (Males),70 - 74 Years,620
18121,2011,Other Ethnic Groups (Males),75 - 79 Years,398
18122,2011,Other Ethnic Groups (Males),80 - 84 Years,259
18123,2011,Other Ethnic Groups (Males),65 Years & Over,2342
18124,2011,Other Ethnic Groups (Males),70 Years & Over,1442
18125,2011,Other Ethnic Groups (Males),75 Years & Over,822
18126,2011,Other Ethnic Groups (Males),80 Years & Over,424
18127,2011,Other Ethnic Groups (Males),85 Years & Over,165
18128,2011,Other Ethnic Groups (Females),0  -  4 Years,4346
18129,2011,Other Ethnic Groups (Females),5  -  9 Years,5274
18130,2011,Other Ethnic Groups (Females),10 - 14 Years,4806
18131,2011,Other Ethnic Groups (Females),15 - 19 Years,3580
18132,2011,Other Ethnic Groups (Females),20 - 24 Years,2970
18133,2011,Other Ethnic Groups (Females),25 - 29 Years,5272
18134,2011,Other Ethnic Groups (Females),30 - 34 Years,8714
18135,2011,Other Ethnic Groups (Females),35 - 39 Years,8974
18136,2011,Other Ethnic Groups (Females),40 - 44 Years,7506
18137,2011,Other Ethnic Groups (Females),45 - 49 Years,5093
18138,2011,Other Ethnic Groups (Females),50 - 54 Years,3389
18139,2011,Other Ethnic Groups (Females),55 - 59 Years,2004
18140,2011,Other Ethnic Groups (Females),60 - 64 Years,1341
18141,2011,Other Ethnic Groups (Females),65 - 69 Years,609
18142,2011,Other Ethnic Groups (Females),70 - 74 Years,593
18143,2011,Other Ethnic Groups (Females),75 - 79 Years,479
18144,2011,Other Ethnic Groups (Females),80 - 84 Years,376
18145,2011,Other Ethnic Groups (Females),65 Years & Over,2325
18146,2011,Other Ethnic Groups (Females),70 Years & Over,1716
18147,2011,Other Ethnic Groups (Females),75 Years & Over,1123
18148,2011,Other Ethnic Groups (Females),80 Years & Over,644
18149,2011,Other Ethnic Groups (Females),85 Years & Over,268
18150,2012,Total Residents,0  -  4 Years,186673
18151,2012,Total Residents,5  -  9 Years,206324
18152,2012,Total Residents,10 - 14 Years,233320
18153,2012,Total Residents,15 - 19 Years,258861
18154,2012,Total Residents,20 - 24 Years,264506
18155,2012,Total Residents,25 - 29 Years,254582
18156,2012,Total Residents,30 - 34 Years,295396
18157,2012,Total Residents,35 - 39 Years,313970
18158,2012,Total Residents,40 - 44 Years,308823
18159,2012,Total Residents,45 - 49 Years,320925
18160,2012,Total Residents,50 - 54 Years,310376
18161,2012,Total Residents,55 - 59 Years,271817
18162,2012,Total Residents,60 - 64 Years,213996
18163,2012,Total Residents,65 - 69 Years,128879
18164,2012,Total Residents,70 - 74 Years,104414
18165,2012,Total Residents,75 - 79 Years,67675
18166,2012,Total Residents,80 - 84 Years,44115
18167,2012,Total Residents,65 Years & Over,378636
18168,2012,Total Residents,70 Years & Over,249757
18169,2012,Total Residents,75 Years & Over,145343
18170,2012,Total Residents,80 Years & Over,77668
18171,2012,Total Residents,85 Years & Over,33553
18172,2012,Total Male Residents,0  -  4 Years,94924
18173,2012,Total Male Residents,5  -  9 Years,105033
18174,2012,Total Male Residents,10 - 14 Years,119697
18175,2012,Total Male Residents,15 - 19 Years,132106
18176,2012,Total Male Residents,20 - 24 Years,132675
18177,2012,Total Male Residents,25 - 29 Years,123056
18178,2012,Total Male Residents,30 - 34 Years,140686
18179,2012,Total Male Residents,35 - 39 Years,152252
18180,2012,Total Male Residents,40 - 44 Years,151213
18181,2012,Total Male Residents,45 - 49 Years,161122
18182,2012,Total Male Residents,50 - 54 Years,156561
18183,2012,Total Male Residents,55 - 59 Years,136379
18184,2012,Total Male Residents,60 - 64 Years,105781
18185,2012,Total Male Residents,65 - 69 Years,62372
18186,2012,Total Male Residents,70 - 74 Years,47890
18187,2012,Total Male Residents,75 - 79 Years,29715
18188,2012,Total Male Residents,80 - 84 Years,17496
18189,2012,Total Male Residents,65 Years & Over,168561
18190,2012,Total Male Residents,70 Years & Over,106189
18191,2012,Total Male Residents,75 Years & Over,58299
18192,2012,Total Male Residents,80 Years & Over,28584
18193,2012,Total Male Residents,85 Years & Over,11088
18194,2012,Total Female Residents,0  -  4 Years,91749
18195,2012,Total Female Residents,5  -  9 Years,101291
18196,2012,Total Female Residents,10 - 14 Years,113623
18197,2012,Total Female Residents,15 - 19 Years,126755
18198,2012,Total Female Residents,20 - 24 Years,131831
18199,2012,Total Female Residents,25 - 29 Years,131526
18200,2012,Total Female Residents,30 - 34 Years,154710
18201,2012,Total Female Residents,35 - 39 Years,161718
18202,2012,Total Female Residents,40 - 44 Years,157610
18203,2012,Total Female Residents,45 - 49 Years,159803
18204,2012,Total Female Residents,50 - 54 Years,153815
18205,2012,Total Female Residents,55 - 59 Years,135438
18206,2012,Total Female Residents,60 - 64 Years,108215
18207,2012,Total Female Residents,65 - 69 Years,66507
18208,2012,Total Female Residents,70 - 74 Years,56524
18209,2012,Total Female Residents,75 - 79 Years,37960
18210,2012,Total Female Residents,80 - 84 Years,26619
18211,2012,Total Female Residents,65 Years & Over,210075
18212,2012,Total Female Residents,70 Years & Over,143568
18213,2012,Total Female Residents,75 Years & Over,87044
18214,2012,Total Female Residents,80 Years & Over,49084
18215,2012,Total Female Residents,85 Years & Over,22465
18216,2012,Total Malays,0  -  4 Years,30868
18217,2012,Total Malays,5  -  9 Years,34069
18218,2012,Total Malays,10 - 14 Years,41516
18219,2012,Total Malays,15 - 19 Years,46721
18220,2012,Total Malays,20 - 24 Years,47824
18221,2012,Total Malays,25 - 29 Years,39636
18222,2012,Total Malays,30 - 34 Years,32541
18223,2012,Total Malays,35 - 39 Years,31040
18224,2012,Total Malays,40 - 44 Years,34049
18225,2012,Total Malays,45 - 49 Years,43652
18226,2012,Total Malays,50 - 54 Years,41001
18227,2012,Total Malays,55 - 59 Years,31457
18228,2012,Total Malays,60 - 64 Years,21207
18229,2012,Total Malays,65 - 69 Years,11723
18230,2012,Total Malays,70 - 74 Years,8896
18231,2012,Total Malays,75 - 79 Years,7042
18232,2012,Total Malays,80 - 84 Years,3865
18233,2012,Total Malays,65 Years & Over,33938
18234,2012,Total Malays,70 Years & Over,22215
18235,2012,Total Malays,75 Years & Over,13319
18236,2012,Total Malays,80 Years & Over,6277
18237,2012,Total Malays,85 Years & Over,2412
18238,2012,Total Male Malays,0  -  4 Years,15748
18239,2012,Total Male Malays,5  -  9 Years,17513
18240,2012,Total Male Malays,10 - 14 Years,21549
18241,2012,Total Male Malays,15 - 19 Years,24174
18242,2012,Total Male Malays,20 - 24 Years,24461
18243,2012,Total Male Malays,25 - 29 Years,19973
18244,2012,Total Male Malays,30 - 34 Years,15921
18245,2012,Total Male Malays,35 - 39 Years,15044
18246,2012,Total Male Malays,40 - 44 Years,16509
18247,2012,Total Male Malays,45 - 49 Years,21457
18248,2012,Total Male Malays,50 - 54 Years,20539
18249,2012,Total Male Malays,55 - 59 Years,15489
18250,2012,Total Male Malays,60 - 64 Years,10038
18251,2012,Total Male Malays,65 - 69 Years,5477
18252,2012,Total Male Malays,70 - 74 Years,3923
18253,2012,Total Male Malays,75 - 79 Years,3020
18254,2012,Total Male Malays,80 - 84 Years,1636
18255,2012,Total Male Malays,65 Years & Over,15163
18256,2012,Total Male Malays,70 Years & Over,9686
18257,2012,Total Male Malays,75 Years & Over,5763
18258,2012,Total Male Malays,80 Years & Over,2743
18259,2012,Total Male Malays,85 Years & Over,1107
18260,2012,Total Female Malays,0  -  4 Years,15120
18261,2012,Total Female Malays,5  -  9 Years,16556
18262,2012,Total Female Malays,10 - 14 Years,19967
18263,2012,Total Female Malays,15 - 19 Years,22547
18264,2012,Total Female Malays,20 - 24 Years,23363
18265,2012,Total Female Malays,25 - 29 Years,19663
18266,2012,Total Female Malays,30 - 34 Years,16620
18267,2012,Total Female Malays,35 - 39 Years,15996
18268,2012,Total Female Malays,40 - 44 Years,17540
18269,2012,Total Female Malays,45 - 49 Years,22195
18270,2012,Total Female Malays,50 - 54 Years,20462
18271,2012,Total Female Malays,55 - 59 Years,15968
18272,2012,Total Female Malays,60 - 64 Years,11169
18273,2012,Total Female Malays,65 - 69 Years,6246
18274,2012,Total Female Malays,70 - 74 Years,4973
18275,2012,Total Female Malays,75 - 79 Years,4022
18276,2012,Total Female Malays,80 - 84 Years,2229
18277,2012,Total Female Malays,65 Years & Over,18775
18278,2012,Total Female Malays,70 Years & Over,12529
18279,2012,Total Female Malays,75 Years & Over,7556
18280,2012,Total Female Malays,80 Years & Over,3534
18281,2012,Total Female Malays,85 Years & Over,1305
18282,2012,Total Chinese,0  -  4 Years,127748
18283,2012,Total Chinese,5  -  9 Years,134579
18284,2012,Total Chinese,10 - 14 Years,158134
18285,2012,Total Chinese,15 - 19 Years,182494
18286,2012,Total Chinese,20 - 24 Years,189212
18287,2012,Total Chinese,25 - 29 Years,182756
18288,2012,Total Chinese,30 - 34 Years,213459
18289,2012,Total Chinese,35 - 39 Years,230350
18290,2012,Total Chinese,40 - 44 Years,228257
18291,2012,Total Chinese,45 - 49 Years,237372
18292,2012,Total Chinese,50 - 54 Years,237159
18293,2012,Total Chinese,55 - 59 Years,217054
18294,2012,Total Chinese,60 - 64 Years,175754
18295,2012,Total Chinese,65 - 69 Years,107912
18296,2012,Total Chinese,70 - 74 Years,88482
18297,2012,Total Chinese,75 - 79 Years,55620
18298,2012,Total Chinese,80 - 84 Years,36811
18299,2012,Total Chinese,65 Years & Over,317656
18300,2012,Total Chinese,70 Years & Over,209744
18301,2012,Total Chinese,75 Years & Over,121262
18302,2012,Total Chinese,80 Years & Over,65642
18303,2012,Total Chinese,85 Years & Over,28831
18304,2012,Total Male Chinese,0  -  4 Years,65510
18305,2012,Total Male Chinese,5  -  9 Years,68931
18306,2012,Total Male Chinese,10 - 14 Years,81512
18307,2012,Total Male Chinese,15 - 19 Years,93414
18308,2012,Total Male Chinese,20 - 24 Years,95079
18309,2012,Total Male Chinese,25 - 29 Years,88944
18310,2012,Total Male Chinese,30 - 34 Years,101426
18311,2012,Total Male Chinese,35 - 39 Years,109368
18312,2012,Total Male Chinese,40 - 44 Years,108947
18313,2012,Total Male Chinese,45 - 49 Years,117903
18314,2012,Total Male Chinese,50 - 54 Years,118759
18315,2012,Total Male Chinese,55 - 59 Years,108646
18316,2012,Total Male Chinese,60 - 64 Years,87027
18317,2012,Total Male Chinese,65 - 69 Years,52217
18318,2012,Total Male Chinese,70 - 74 Years,40696
18319,2012,Total Male Chinese,75 - 79 Years,24440
18320,2012,Total Male Chinese,80 - 84 Years,14098
18321,2012,Total Male Chinese,65 Years & Over,140140
18322,2012,Total Male Chinese,70 Years & Over,87923
18323,2012,Total Male Chinese,75 Years & Over,47227
18324,2012,Total Male Chinese,80 Years & Over,22787
18325,2012,Total Male Chinese,85 Years & Over,8689
18326,2012,Total Female Chinese,0  -  4 Years,62238
18327,2012,Total Female Chinese,5  -  9 Years,65648
18328,2012,Total Female Chinese,10 - 14 Years,76622
18329,2012,Total Female Chinese,15 - 19 Years,89080
18330,2012,Total Female Chinese,20 - 24 Years,94133
18331,2012,Total Female Chinese,25 - 29 Years,93812
18332,2012,Total Female Chinese,30 - 34 Years,112033
18333,2012,Total Female Chinese,35 - 39 Years,120982
18334,2012,Total Female Chinese,40 - 44 Years,119310
18335,2012,Total Female Chinese,45 - 49 Years,119469
18336,2012,Total Female Chinese,50 - 54 Years,118400
18337,2012,Total Female Chinese,55 - 59 Years,108408
18338,2012,Total Female Chinese,60 - 64 Years,88727
18339,2012,Total Female Chinese,65 - 69 Years,55695
18340,2012,Total Female Chinese,70 - 74 Years,47786
18341,2012,Total Female Chinese,75 - 79 Years,31180
18342,2012,Total Female Chinese,80 - 84 Years,22713
18343,2012,Total Female Chinese,65 Years & Over,177516
18344,2012,Total Female Chinese,70 Years & Over,121821
18345,2012,Total Female Chinese,75 Years & Over,74035
18346,2012,Total Female Chinese,80 Years & Over,42855
18347,2012,Total Female Chinese,85 Years & Over,20142
18348,2012,Total Indians,0  -  4 Years,20355
18349,2012,Total Indians,5  -  9 Years,27311
18350,2012,Total Indians,10 - 14 Years,24424
18351,2012,Total Indians,15 - 19 Years,22794
18352,2012,Total Indians,20 - 24 Years,22169
18353,2012,Total Indians,25 - 29 Years,25091
18354,2012,Total Indians,30 - 34 Years,35317
18355,2012,Total Indians,35 - 39 Years,35813
18356,2012,Total Indians,40 - 44 Years,31239
18357,2012,Total Indians,45 - 49 Years,28253
18358,2012,Total Indians,50 - 54 Years,24324
18359,2012,Total Indians,55 - 59 Years,18317
18360,2012,Total Indians,60 - 64 Years,13650
18361,2012,Total Indians,65 - 69 Years,7440
18362,2012,Total Indians,70 - 74 Years,5815
18363,2012,Total Indians,75 - 79 Years,4091
18364,2012,Total Indians,80 - 84 Years,2789
18365,2012,Total Indians,65 Years & Over,21968
18366,2012,Total Indians,70 Years & Over,14528
18367,2012,Total Indians,75 Years & Over,8713
18368,2012,Total Indians,80 Years & Over,4622
18369,2012,Total Indians,85 Years & Over,1833
18370,2012,Total Male Indians,0  -  4 Years,10015
18371,2012,Total Male Indians,5  -  9 Years,13571
18372,2012,Total Male Indians,10 - 14 Years,12272
18373,2012,Total Male Indians,15 - 19 Years,11362
18374,2012,Total Male Indians,20 - 24 Years,10863
18375,2012,Total Male Indians,25 - 29 Years,11553
18376,2012,Total Male Indians,30 - 34 Years,17505
18377,2012,Total Male Indians,35 - 39 Years,20103
18378,2012,Total Male Indians,40 - 44 Years,18282
18379,2012,Total Male Indians,45 - 49 Years,15624
18380,2012,Total Male Indians,50 - 54 Years,13007
18381,2012,Total Male Indians,55 - 59 Years,9420
18382,2012,Total Male Indians,60 - 64 Years,6712
18383,2012,Total Male Indians,65 - 69 Years,3588
18384,2012,Total Male Indians,70 - 74 Years,2639
18385,2012,Total Male Indians,75 - 79 Years,1835
18386,2012,Total Male Indians,80 - 84 Years,1487
18387,2012,Total Male Indians,65 Years & Over,10659
18388,2012,Total Male Indians,70 Years & Over,7071
18389,2012,Total Male Indians,75 Years & Over,4432
18390,2012,Total Male Indians,80 Years & Over,2597
18391,2012,Total Male Indians,85 Years & Over,1110
18392,2012,Total Female Indians,0  -  4 Years,10340
18393,2012,Total Female Indians,5  -  9 Years,13740
18394,2012,Total Female Indians,10 - 14 Years,12152
18395,2012,Total Female Indians,15 - 19 Years,11432
18396,2012,Total Female Indians,20 - 24 Years,11306
18397,2012,Total Female Indians,25 - 29 Years,13538
18398,2012,Total Female Indians,30 - 34 Years,17812
18399,2012,Total Female Indians,35 - 39 Years,15710
18400,2012,Total Female Indians,40 - 44 Years,12957
18401,2012,Total Female Indians,45 - 49 Years,12629
18402,2012,Total Female Indians,50 - 54 Years,11317
18403,2012,Total Female Indians,55 - 59 Years,8897
18404,2012,Total Female Indians,60 - 64 Years,6938
18405,2012,Total Female Indians,65 - 69 Years,3852
18406,2012,Total Female Indians,70 - 74 Years,3176
18407,2012,Total Female Indians,75 - 79 Years,2256
18408,2012,Total Female Indians,80 - 84 Years,1302
18409,2012,Total Female Indians,65 Years & Over,11309
18410,2012,Total Female Indians,70 Years & Over,7457
18411,2012,Total Female Indians,75 Years & Over,4281
18412,2012,Total Female Indians,80 Years & Over,2025
18413,2012,Total Female Indians,85 Years & Over,723
18414,2012,Other Ethnic Groups (Total),0  -  4 Years,7702
18415,2012,Other Ethnic Groups (Total),5  -  9 Years,10365
18416,2012,Other Ethnic Groups (Total),10 - 14 Years,9246
18417,2012,Other Ethnic Groups (Total),15 - 19 Years,6852
18418,2012,Other Ethnic Groups (Total),20 - 24 Years,5301
18419,2012,Other Ethnic Groups (Total),25 - 29 Years,7099
18420,2012,Other Ethnic Groups (Total),30 - 34 Years,14079
18421,2012,Other Ethnic Groups (Total),35 - 39 Years,16767
18422,2012,Other Ethnic Groups (Total),40 - 44 Years,15278
18423,2012,Other Ethnic Groups (Total),45 - 49 Years,11648
18424,2012,Other Ethnic Groups (Total),50 - 54 Years,7892
18425,2012,Other Ethnic Groups (Total),55 - 59 Years,4989
18426,2012,Other Ethnic Groups (Total),60 - 64 Years,3385
18427,2012,Other Ethnic Groups (Total),65 - 69 Years,1804
18428,2012,Other Ethnic Groups (Total),70 - 74 Years,1221
18429,2012,Other Ethnic Groups (Total),75 - 79 Years,922
18430,2012,Other Ethnic Groups (Total),80 - 84 Years,650
18431,2012,Other Ethnic Groups (Total),65 Years & Over,5074
18432,2012,Other Ethnic Groups (Total),70 Years & Over,3270
18433,2012,Other Ethnic Groups (Total),75 Years & Over,2049
18434,2012,Other Ethnic Groups (Total),80 Years & Over,1127
18435,2012,Other Ethnic Groups (Total),85 Years & Over,477
18436,2012,Other Ethnic Groups (Males),0  -  4 Years,3651
18437,2012,Other Ethnic Groups (Males),5  -  9 Years,5018
18438,2012,Other Ethnic Groups (Males),10 - 14 Years,4364
18439,2012,Other Ethnic Groups (Males),15 - 19 Years,3156
18440,2012,Other Ethnic Groups (Males),20 - 24 Years,2272
18441,2012,Other Ethnic Groups (Males),25 - 29 Years,2586
18442,2012,Other Ethnic Groups (Males),30 - 34 Years,5834
18443,2012,Other Ethnic Groups (Males),35 - 39 Years,7737
18444,2012,Other Ethnic Groups (Males),40 - 44 Years,7475
18445,2012,Other Ethnic Groups (Males),45 - 49 Years,6138
18446,2012,Other Ethnic Groups (Males),50 - 54 Years,4256
18447,2012,Other Ethnic Groups (Males),55 - 59 Years,2824
18448,2012,Other Ethnic Groups (Males),60 - 64 Years,2004
18449,2012,Other Ethnic Groups (Males),65 - 69 Years,1090
18450,2012,Other Ethnic Groups (Males),70 - 74 Years,632
18451,2012,Other Ethnic Groups (Males),75 - 79 Years,420
18452,2012,Other Ethnic Groups (Males),80 - 84 Years,275
18453,2012,Other Ethnic Groups (Males),65 Years & Over,2599
18454,2012,Other Ethnic Groups (Males),70 Years & Over,1509
18455,2012,Other Ethnic Groups (Males),75 Years & Over,877
18456,2012,Other Ethnic Groups (Males),80 Years & Over,457
18457,2012,Other Ethnic Groups (Males),85 Years & Over,182
18458,2012,Other Ethnic Groups (Females),0  -  4 Years,4051
18459,2012,Other Ethnic Groups (Females),5  -  9 Years,5347
18460,2012,Other Ethnic Groups (Females),10 - 14 Years,4882
18461,2012,Other Ethnic Groups (Females),15 - 19 Years,3696
18462,2012,Other Ethnic Groups (Females),20 - 24 Years,3029
18463,2012,Other Ethnic Groups (Females),25 - 29 Years,4513
18464,2012,Other Ethnic Groups (Females),30 - 34 Years,8245
18465,2012,Other Ethnic Groups (Females),35 - 39 Years,9030
18466,2012,Other Ethnic Groups (Females),40 - 44 Years,7803
18467,2012,Other Ethnic Groups (Females),45 - 49 Years,5510
18468,2012,Other Ethnic Groups (Females),50 - 54 Years,3636
18469,2012,Other Ethnic Groups (Females),55 - 59 Years,2165
18470,2012,Other Ethnic Groups (Females),60 - 64 Years,1381
18471,2012,Other Ethnic Groups (Females),65 - 69 Years,714
18472,2012,Other Ethnic Groups (Females),70 - 74 Years,589
18473,2012,Other Ethnic Groups (Females),75 - 79 Years,502
18474,2012,Other Ethnic Groups (Females),80 - 84 Years,375
18475,2012,Other Ethnic Groups (Females),65 Years & Over,2475
18476,2012,Other Ethnic Groups (Females),70 Years & Over,1761
18477,2012,Other Ethnic Groups (Females),75 Years & Over,1172
18478,2012,Other Ethnic Groups (Females),80 Years & Over,670
18479,2012,Other Ethnic Groups (Females),85 Years & Over,295
18480,2013,Total Residents,0  -  4 Years,183295
18481,2013,Total Residents,5  -  9 Years,205704
18482,2013,Total Residents,10 - 14 Years,226244
18483,2013,Total Residents,15 - 19 Years,255066
18484,2013,Total Residents,20 - 24 Years,266889
18485,2013,Total Residents,25 - 29 Years,255615
18486,2013,Total Residents,30 - 34 Years,296870
18487,2013,Total Residents,35 - 39 Years,305503
18488,2013,Total Residents,40 - 44 Years,312581
18489,2013,Total Residents,45 - 49 Years,316336
18490,2013,Total Residents,50 - 54 Years,312988
18491,2013,Total Residents,55 - 59 Years,281069
18492,2013,Total Residents,60 - 64 Years,222154
18493,2013,Total Residents,65 - 69 Years,145817
18494,2013,Total Residents,70 - 74 Years,105746
18495,2013,Total Residents,75 - 79 Years,70619
18496,2013,Total Residents,80 - 84 Years,46199
18497,2013,Total Residents,65 Years & Over,404437
18498,2013,Total Residents,70 Years & Over,258620
18499,2013,Total Residents,75 Years & Over,152874
18500,2013,Total Residents,80 Years & Over,82255
18501,2013,Total Residents,85 Years & Over,36056
18502,2013,Total Male Residents,0  -  4 Years,93520
18503,2013,Total Male Residents,5  -  9 Years,104586
18504,2013,Total Male Residents,10 - 14 Years,116000
18505,2013,Total Male Residents,15 - 19 Years,129989
18506,2013,Total Male Residents,20 - 24 Years,134034
18507,2013,Total Male Residents,25 - 29 Years,124013
18508,2013,Total Male Residents,30 - 34 Years,141262
18509,2013,Total Male Residents,35 - 39 Years,147408
18510,2013,Total Male Residents,40 - 44 Years,152691
18511,2013,Total Male Residents,45 - 49 Years,158312
18512,2013,Total Male Residents,50 - 54 Years,157789
18513,2013,Total Male Residents,55 - 59 Years,140813
18514,2013,Total Male Residents,60 - 64 Years,110241
18515,2013,Total Male Residents,65 - 69 Years,70525
18516,2013,Total Male Residents,70 - 74 Years,48663
18517,2013,Total Male Residents,75 - 79 Years,31164
18518,2013,Total Male Residents,80 - 84 Years,18572
18519,2013,Total Male Residents,65 Years & Over,180846
18520,2013,Total Male Residents,70 Years & Over,110321
18521,2013,Total Male Residents,75 Years & Over,61658
18522,2013,Total Male Residents,80 Years & Over,30494
18523,2013,Total Male Residents,85 Years & Over,11922
18524,2013,Total Female Residents,0  -  4 Years,89775
18525,2013,Total Female Residents,5  -  9 Years,101118
18526,2013,Total Female Residents,10 - 14 Years,110244
18527,2013,Total Female Residents,15 - 19 Years,125077
18528,2013,Total Female Residents,20 - 24 Years,132855
18529,2013,Total Female Residents,25 - 29 Years,131602
18530,2013,Total Female Residents,30 - 34 Years,155608
18531,2013,Total Female Residents,35 - 39 Years,158095
18532,2013,Total Female Residents,40 - 44 Years,159890
18533,2013,Total Female Residents,45 - 49 Years,158024
18534,2013,Total Female Residents,50 - 54 Years,155199
18535,2013,Total Female Residents,55 - 59 Years,140256
18536,2013,Total Female Residents,60 - 64 Years,111913
18537,2013,Total Female Residents,65 - 69 Years,75292
18538,2013,Total Female Residents,70 - 74 Years,57083
18539,2013,Total Female Residents,75 - 79 Years,39455
18540,2013,Total Female Residents,80 - 84 Years,27627
18541,2013,Total Female Residents,65 Years & Over,223591
18542,2013,Total Female Residents,70 Years & Over,148299
18543,2013,Total Female Residents,75 Years & Over,91216
18544,2013,Total Female Residents,80 Years & Over,51761
18545,2013,Total Female Residents,85 Years & Over,24134
18546,2013,Total Malays,0  -  4 Years,30587
18547,2013,Total Malays,5  -  9 Years,33379
18548,2013,Total Malays,10 - 14 Years,39902
18549,2013,Total Malays,15 - 19 Years,45767
18550,2013,Total Malays,20 - 24 Years,48678
18551,2013,Total Malays,25 - 29 Years,40804
18552,2013,Total Malays,30 - 34 Years,34420
18553,2013,Total Malays,35 - 39 Years,29830
18554,2013,Total Malays,40 - 44 Years,33323
18555,2013,Total Malays,45 - 49 Years,42210
18556,2013,Total Malays,50 - 54 Years,42024
18557,2013,Total Malays,55 - 59 Years,33371
18558,2013,Total Malays,60 - 64 Years,22492
18559,2013,Total Malays,65 - 69 Years,13546
18560,2013,Total Malays,70 - 74 Years,8729
18561,2013,Total Malays,75 - 79 Years,7097
18562,2013,Total Malays,80 - 84 Years,4073
18563,2013,Total Malays,65 Years & Over,36050
